Mutant Haplotype,Loci
1_mut1,"1, 2, 3"
2_mut1,4
3_mut1,5
4_mut1,6
5_mut1,7
6_mut1,8
7_mut1,"9, 10, 11, 12, 13, 14, 15"
8_mut1,16
9_mut1,"17, 18"
10_mut1,19
11_mut1,20
12_mut1,"21, 22"
12_mut2,"21, 22"
13_mut1,23
14_mut1,"24, 25"
15_mut1,26
16_mut1,27
17_mut1,28
18_mut1,"29, 30"
18_mut2,"29, 30"
19_mut1,31
20_mut1,32
21_mut1,"33, 34"
21_mut2,"33, 34"
22_mut1,"35, 36"
22_mut2,"35, 36"
23_mut1,37
24_mut1,38
25_mut1,39
26_mut1,40
27_mut1,"41, 42"
27_mut2,"41, 42"
28_mut1,43
29_mut1,44
30_mut1,45
31_mut1,46
32_mut1,47
33_mut1,48
34_mut1,49
35_mut1,50
36_mut1,"51, 52"
37_mut1,53
38_mut1,"54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66"
38_mut2,"54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66"
39_mut1,67
40_mut1,68
41_mut1,"69, 70, 71, 72, 73"
41_mut2,"69, 70, 71, 72, 73"
42_mut1,74
43_mut1,75
44_mut1,76
45_mut1,77
46_mut1,78
47_mut1,"79, 80, 81, 82"
47_mut2,"79, 80, 81, 82"
48_mut1,"83, 84"
49_mut1,85
50_mut1,86
51_mut1,87
52_mut1,88
53_mut1,89
54_mut1,90
55_mut1,91
56_mut1,"92, 93, 94, 95, 96, 97"
56_mut2,"92, 93, 94, 95, 96, 97"
57_mut1,"98, 99"
58_mut1,100
59_mut1,101
60_mut1,102
61_mut1,103
62_mut1,104
63_mut1,105
64_mut1,"106, 107, 108, 109, 110, 111"
65_mut1,112
66_mut1,113
67_mut1,114
68_mut1,115
69_mut1,116
70_mut1,117
71_mut1,"118, 119, 120"
72_mut1,"121, 122, 123, 124, 125, 126, 127, 128, 129"
72_mut2,"121, 122, 123, 124, 125, 126, 127, 128, 129"
73_mut1,130
74_mut1,131
75_mut1,132
76_mut1,133
77_mut1,134
78_mut1,135
79_mut1,136
80_mut1,137
81_mut1,138
82_mut1,139
83_mut1,140
84_mut1,141
85_mut1,142
86_mut1,143
87_mut1,144
88_mut1,145
89_mut1,"146, 147"
90_mut1,148
91_mut1,"149, 150, 151, 152"
92_mut1,153
93_mut1,154
94_mut1,"155, 156"
95_mut1,157
96_mut1,"158, 159"
97_mut1,160
98_mut1,"161, 162"
99_mut1,163
100_mut1,164
101_mut1,165
102_mut1,"166, 167, 168"
102_mut2,"166, 167, 168"
103_mut1,169
