Mutant haplotype,mean,CI2.5%,CI97.5%
1_mut1,-0.009545560347552698,-0.110493240468229,0.08784418694145918
2_mut1,-0.009758046849567529,-0.10385505324319781,0.07556806556841525
3_mut1,-0.038904272371139186,-0.14935433711302284,0.0303965064940554
4_mut1,-0.004210006961795371,-0.07948253449693767,0.0684988763715438
5_mut1,-0.058689136244920996,-0.1987447531417489,0.02233281158588362
6_mut1,-0.041988606546296645,-0.17262835233046697,0.034823762294579244
7_mut1,0.062017205625798516,-0.09407835322982791,0.22788860285445312
8_mut1,0.0571460264760151,-0.03612506069022702,0.2248528146841625
9_mut1,-0.019301911101002225,-0.1587466415261446,0.10701191897397391
10_mut1,-0.0255267237962613,-0.1734174509662855,0.06598578428659303
11_mut1,-0.04111862284249346,-0.2125108319126815,0.04759632902729429
12_mut1,-0.03409809231932929,-0.17345553410080422,0.0507678623777287
12_mut2,-0.018801995363466148,-0.14202261599609536,0.06903493010517074
13_mut1,-0.030463920832348352,-0.2026164401055842,0.05411318979934625
14_mut1,0.0003715902141380587,-0.11666405991238937,0.12168814062585868
15_mut1,-0.015240357371015135,-0.092267420283695,0.04356717541071848
16_mut1,-0.0018971035415812501,-0.07711838956544714,0.07458339813139277
17_mut1,-0.014346739930558395,-0.10972404562466492,0.06446021453798335
18_mut1,0.0070797546846581155,-0.0681045967029124,0.10323227237848127
18_mut2,0.0002815193996102778,-0.08376310555480372,0.09497971755600124
19_mut1,-0.016992785119441488,-0.1125856071520602,0.05232752726052601
20_mut1,-0.019621924009324165,-0.12234052547184045,0.0559295489511065
21_mut1,-0.001439842443143372,-0.09462469748223007,0.09393598417550304
21_mut2,-0.013436959228247298,-0.11473580634938164,0.0716875321403554
22_mut1,0.03449013246373836,-0.05551749245500204,0.1885942098309511
22_mut2,-0.040696332998093096,-0.201064676067019,0.05368148417973696
23_mut1,-0.0038664358951054746,-0.08905227167331033,0.08160551306700252
24_mut1,-0.004683831678688763,-0.12097563922058141,0.1143796528980979
25_mut1,-0.006588836164022012,-0.11521718832283147,0.09421752581628251
26_mut1,-0.007122085419513804,-0.11089568147823861,0.0865001650498865
27_mut1,-0.018331284976362463,-0.15013092653163113,0.07710179611106585
27_mut2,-0.009741699959585683,-0.12111070321141953,0.0973494733557787
28_mut1,-0.0014031836565411794,-0.1087139335336436,0.11401261702186836
29_mut1,0.0037633615266884257,-0.09830594431976397,0.12190971213948237
30_mut1,0.01039730880412572,-0.0536961297082265,0.09613093059872463
31_mut1,-0.01181026880162094,-0.10845805249831326,0.0623319223382656
32_mut1,0.00943117802090097,-0.06389444263786104,0.10488588069110709
33_mut1,-0.011471916727315982,-0.11415962778124161,0.0715663151410703
34_mut1,0.0037750329785558464,-0.08173268658034202,0.10645980159739196
35_mut1,-0.0035236597785252804,-0.09354975151611956,0.08285635761328163
36_mut1,0.06841836687541027,-0.023702908554813832,0.18873825780301465
37_mut1,0.0008967685728424994,-0.07021313172598573,0.07903494328313537
38_mut1,0.06951217443681461,-0.21493695669193122,0.3543527601845839
38_mut2,-0.2508911705397292,-0.5516934428064355,0.03943114768437366
39_mut1,-0.01542096362519775,-0.1354616060737301,0.06786305999198686
40_mut1,-0.0661906474254978,-0.2193809148327835,0.022460176000809913
41_mut1,-0.014544871411532594,-0.1338397746551055,0.0784901443289707
41_mut2,-0.14769800706323194,-0.3709266895485335,0.029432056695959323
42_mut1,0.04203208004095433,-0.050375617793151334,0.22037759677513194
43_mut1,0.0031437851382650397,-0.10913654776293107,0.1285677387282624
44_mut1,0.019392028171400587,-0.06859537892106178,0.15640928932181583
45_mut1,-0.11168079243176585,-0.2750450591284716,0.009663175665889995
46_mut1,0.07372111765781182,-0.0264795374940214,0.2525491360165626
47_mut1,-0.15367164225254626,-0.32203032141096566,-0.0012508864064008451
47_mut2,0.01161132227550149,-0.08749474964488588,0.14240334632911691
48_mut1,-0.03359945045506678,-0.13405336766798004,0.049422391959773236
49_mut1,-0.020531075413916484,-0.1186397614404272,0.04912526103185981
50_mut1,-0.017492227164131423,-0.117608964117143,0.054943990653534995
51_mut1,0.0020905738433961954,-0.0973037124573211,0.10604978624466771
52_mut1,0.027399561150170785,-0.062241041131457085,0.15257418728442712
53_mut1,-0.00518298210024811,-0.10045306711730495,0.08316970047916238
54_mut1,-0.003617761861599705,-0.08104985565534036,0.07461862006340556
55_mut1,-0.022591783710090588,-0.13228659465503936,0.05356331017021708
56_mut1,0.01882780655446444,-0.06959957944130925,0.15629720535579286
56_mut2,-0.007280205044651515,-0.15291774727344062,0.15054348392448078
57_mut1,-0.028664976333816438,-0.16226195504821653,0.0778001144693639
58_mut1,-0.060587362686696476,-0.2044966068754099,0.03425499538781036
59_mut1,0.02495814002127532,-0.05322862141210791,0.14382799265312732
60_mut1,-0.02024427074942552,-0.12288987787998921,0.055541520556801054
61_mut1,0.020074713577845252,-0.062345629820482446,0.14595437257251048
62_mut1,-0.016395064465209646,-0.1062081571431935,0.05705088145582146
63_mut1,-0.059233314822607,-0.23737501953044898,0.03547354887878125
64_mut1,-0.029757549091995447,-0.20627369141352173,0.15951197081384397
65_mut1,0.007620669821892494,-0.09134293309663374,0.12762542927718123
66_mut1,-0.03030947777061398,-0.21543214956769244,0.07167857727106676
67_mut1,-0.02790935289771397,-0.15413596988587214,0.09145433986350339
68_mut1,-0.009201496426738783,-0.10446072642959084,0.074344382298064
69_mut1,-0.002161545936373271,-0.09882404785890252,0.09891217361386552
70_mut1,-0.002188654692458476,-0.10956692376016305,0.115846138613806
71_mut1,-0.006661144868311279,-0.1381769532744051,0.12602050746088023
72_mut1,0.009750627357960518,-0.20069562790765783,0.20617945276603683
72_mut2,-0.08458942997695416,-0.30996750429744097,0.09312293075200546
73_mut1,-0.022545265844989195,-0.14731794779570806,0.0593867368512835
74_mut1,-0.025694262827528836,-0.1434752864231989,0.05699532838502252
75_mut1,0.03431472236914273,-0.0477923910578097,0.17622533690677025
76_mut1,0.031786550526450644,-0.0521391314723377,0.19529350803396092
77_mut1,0.01902728439833528,-0.06854526032696732,0.16503881050243752
78_mut1,0.01122948366335191,-0.07534822015322237,0.14799479488879358
79_mut1,-0.09772695427052158,-0.2181755447218367,0.0004725337802966637
80_mut1,0.004378578456620707,-0.07200014091523176,0.09715906799657091
81_mut1,-0.05390188176038311,-0.20463940431524108,0.03790022733320647
82_mut1,-0.016806386403838355,-0.13061523167621839,0.07985116417991596
83_mut1,-0.004684333794826107,-0.10138164859504313,0.09991265925826624
84_mut1,-0.027080425106386426,-0.14695913546153336,0.049478279485459374
85_mut1,0.02673407448062347,-0.05882710584736206,0.16428535554104276
86_mut1,-0.00419400119502264,-0.09985578194215096,0.08868839944608371
87_mut1,0.03305252753113477,-0.0596671105435902,0.19374678830791822
88_mut1,0.01267711292303635,-0.0691058023846194,0.12493050716426837
89_mut1,0.057525651914881994,-0.047204064905365696,0.20243025566264433
90_mut1,0.0033686268719535792,-0.08706288788430874,0.11093502102207836
91_mut1,-0.014264386510584658,-0.17523159534839033,0.1437916437038915
92_mut1,0.014597662879729035,-0.08091678941040056,0.12577083900036923
93_mut1,0.017357470479949427,-0.06276613986357696,0.13598524363520645
94_mut1,0.012089137454118501,-0.11528720412598338,0.16379954893495186
95_mut1,-0.04028250134719186,-0.18208096066720666,0.04052582178191541
96_mut1,0.03414607495604497,-0.08942667833531091,0.206855448854014
97_mut1,0.011200045237982636,-0.08974182466858086,0.14844259653715366
98_mut1,0.010224771024988552,-0.11603277106225351,0.15291610849529935
99_mut1,0.06600427105785221,-0.03351975059640687,0.243290075649004
100_mut1,-0.018537633266769733,-0.14105874273172384,0.07419756182698603
101_mut1,-0.011867959318576562,-0.11582312418764548,0.07033194374640148
102_mut1,0.0013918261278580962,-0.0895850364444193,0.10282716951495263
102_mut2,-0.010202622784130078,-0.13729599693161412,0.11322564667501823
103_mut1,0.017366415199156635,-0.060659477008049204,0.13999866509496367
