chr1	chr2	mean_ic_ld	sd_ic_ld	sem_ic_ld	type
I	II	-0.000205165728130947	0.017346443174256	0.000760691854621746	all
I	III	-0.000769665662171336	0.0153272228746547	0.000500985952096474	all
I	IV	-0.0019615589862546	0.02285727779997	0.00100235793969961	all
I	V	0.00202566068292112	0.0194088265849128	0.000643396336248538	all
I	X	-0.00257198603304599	0.0185255289953788	0.00064225716055705	all
II	III	0.00476238938873134	0.020082772864437	0.000748440755026154	all
II	IV	0.000591401381397876	0.0175213910621245	0.000876069553106227	all
II	V	0.00324541483139525	0.0219618547469657	0.00083008008557421	all
II	X	0.00257914837742575	0.0211403233708424	0.000835644654054379	all
III	IV	0.00158529456870209	0.0248606753265249	0.000926502666611026	all
III	V	-0.0030362889590323	0.018790486144212	0.0005293619771066	all
III	X	0.000825070668128623	0.0174830589383286	0.000515099563799009	all
IV	V	0.000440266988453809	0.0192801212083932	0.000728720085208438	all
IV	X	0.00157369986365489	0.0187779640961321	0.00074226420455803	all
V	X	0.00108769388071891	0.0186376534946157	0.000556906416690645	all
